Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,新生入學,,0,0,0,"LoadChapter(""C001_BeforeClass"")"
0,0,0,,繼續學業,,0,0,0,LoadScreen()
0,0,0,,Select Chapter,"選擇章節.|如果你從未玩過，請從第一章開始.",10,0,0,
0,0,0,,更換語言,,30,0,0,
0,0,0,,製作組,對所有在遊戲製作有貢獻的人|致上最高的感謝.,0,0,0,RollCredits()
10,0,0,,Chapter 1|上課前,,10,0,0,"LoadChapter(""C001_BeforeClass"")"
10,0,0,,Chapter 2|第一節課,,10,0,0,"LoadChapter(""C002_FirstClass"")"
10,0,0,,Chapter 3|晨間拘留,,10,0,0,"LoadChapter(""C003_MorningDetention"")"
10,0,0,,Chapter 4|美術課,,10,0,0,"LoadChapter(""C004_ArtClass"")"
10,0,0,,Chapter 5|體育課,,10,0,0,"LoadChapter(""C005_GymClass"")"
10,0,0,,Chapter 6|禁閉,,10,0,0,"LoadChapter(""C006_Isolation"")"
10,0,0,,Chapter 7|午餐,,10,0,0,"LoadChapter(""C007_LunchBreak"")"
10,0,0,,Chapter 8|戲劇課,,10,0,0,"LoadChapter(""C008_DramaClass"")"
10,0,0,,More Chapters,"選擇章節.|如果你從未玩過，請從第一章開始.",20,0,0,
10,0,0,,Main Menu,"歡迎來到 Bondage College.|玩得開心, 保持好奇與色情.",0,0,0,
20,0,0,,Chapter 9|圖書館,,20,0,0,"LoadChapter(""C009_Library"")"
20,0,0,,Chapter 10|復仇,,20,0,0,"LoadChapter(""C010_Revenge"")"
20,0,0,,Chapter 11|文學課,,20,0,0,"LoadChapter(""C011_LiteratureClass"")"
20,0,0,,Chapter 12|放學,,20,0,0,"LoadChapter(""C012_AfterClass"")"
20,0,0,,Chapter 101|緊縛俱樂部 by wildsj,,20,0,0,"LoadChapter(""C101_KinbakuClub"")"
20,0,0,,Previous Chapters,"Select the chapter you want to play.|If you never tried the game, start on chapter 1.",10,0,0,
20,0,0,,Main Menu,"歡迎來到 Bondage College.|玩得開心, 保持好奇與色情.",0,0,0,
30,0,0,,繁體中文,,0,0,0,"SetLanguage(""EN"")"
30,0,0,,法文 (Chapter 1 to 9)|Made by gottspende,,0,0,0,"SetLanguage(""FR"")"
30,0,0,,"簡體中文 (Chapter 1 to 3, 5)|By Dwscdv3 & asdcvbgf",,0,0,0,"SetLanguage(""CN"")"
30,0,0,,西班牙文 (Chapter 1 & 2)|Rafael R & tree13003,,0,0,0,"SetLanguage(""ES"")"
30,0,0,,"德文 (Chapter 1 to 13)|adokilume, Knife, fleisch11",,0,0,0,"SetLanguage(""DE"")"
30,0,0,,"俄文 (Chapter 1)|Fluend",,0,0,0,"SetLanguage(""RU"")"
