Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,"是的，這是我在這裡的第|一天.",歡迎你！我叫做Amanda.,10,0,0,
0,0,0,,"是的，這是我在這裡的第|一天新的學校一向很可怕.","會沒事的.  歡迎你！我叫做Amanda.",10,0,-1,
0,0,0,,你看起來像是|老師的寶貝.,"Errrr... 好的...  我...|歡迎你 我叫做Amanda.",10,-1,1,
0,0,0,,你為什麼在乎?,"喔!  沒什麼.  歡迎你 我叫做Amanda.",10,-1,0,
0,0,0,SidneyInBondage,我敢打賭你|被綁起來也會很可愛.,"(她 臉紅了.)|你這麼想嗎?  我叫做Amanda, 很高興認識你.",10,0,1,
0,0,0,SidneyInBondage,你最好表現得好一點否則|你會像她一樣的下場.,"會的, 會的, 那是當然.  我叫做Amanda.|(她低下頭，看著地板.)",10,-1,2,
10,0,0,,跟我說說這間大學的事.,這所學院是一個世紀前由修女創辦的.|現在，它是一所聲譽卓著的女子學院.,20,0,0,
10,0,0,,早上的這堂|課是什麼?,數學!  我的最愛!  等等你會見到我們的老師.,20,0,0,
10,0,0,,我聽說了很多這|學院的好話.,"沒錯, 這地方真的很美好.",20,1,0,
10,0,0,,我希望這堂課|可以快點結束.,我不確定這是個適當的學習態度.,20,-1,0,
20,0,0,,我喜歡你的頭髮.,"(她臉紅著傻笑.)|你人真好, 現在做好準備吧 快上課了.",30,1,0,
20,0,0,,你聽起來對這所|笨學校很著迷.,Mmh (她別過頭去，不再說話),50,-1,0,
20,0,0,,"午餐不用計劃了|我請你吃晚餐吧.",真的?  (傻笑著)|現在我們專心在課程上吧.,30,0,1,
20,0,0,,你下課可以帶|我到處轉轉?,也許吧.|但我要先準備上課.,30,0,-1,
30,0,0,,"好, 我們專心在|今天的課程上吧.",說的對.,50,1,0,
30,0,0,,"上課, 上課, 上課.|你真的很無聊.",喔!  抱歉.  (她別過頭去，不再說話),50,-1,0,
30,1,0,,"小心點, 那個黑髮女孩|正盯著你.","喔我的天!  謝謝你的警告.|這是我第一次看到她帶包包, 真好奇裡面會有什麼.",40,1,0,
40,1,0,,"別擔心, 如果她鬧事|我會保護你的.",你會?  這真是太好了!|但現在我們專心在課程上吧.,50,0,1,
40,1,0,,"她真可怕|或許你應該告訴老師.",告狀... 我不確定.|現在我們專心在課程上吧.,50,0,-1,
40,1,0,SidneyInBondage,"她的包包裡有繩子.|  而她正穿著它",哈哈哈!  我看到了.|但你或許應該在上課前鬆綁她?,50,1,0,
