Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,你要幹嘛? (她盯著你.),SidneyFace.jpg
0,0,0,AmandaInBondage,太棒了! 我一個禮拜前就想把她綁起來了.|現在你想幹嘛? (她盯著你.),SidneyFace.jpg
10,0,0,,(她盯著有棕色頭髮的女孩.),SidneyStare.jpg
20,0,0,,(她交叉雙臂並直勾勾的盯著你的眼睛.),SidneyFace.jpg
30,0,0,,(她再次盯著有棕色頭髮的女孩.),SidneyStare.jpg
40,0,0,,(她轉過頭無視你.),SidneyBack.jpg
40,2,0,,馬上就要上課了，之後再說.,SidneyFace.jpg
40,-2,0,,別吵我 婊子!|(她轉過頭無視你.),SidneyBack.jpg
40,0,0,AmandaInBondage,恭喜你羞辱了她. 我們下課再說.|(她看向Amanda並對你豎起大拇指.),SidneyFace.jpg
100,0,0,,靠! 你翻了我的包包?|(她對你發現了繩子感到很緊張.),SidneyFace.jpg
110,0,0,,(她好奇地看著你.),SidneyFace.jpg
200,0,0,,你從我的包裡偷了繩子?|(她看起來很生氣.),SidneyFace.jpg
210,0,0,,把我的繩子還來!,SidneyFace.jpg
220,0,0,,你給我等著!|(她徒勞的掙扎著想要掙脫.),SidneyBondageFront.jpg
220,0,0,AmandaInBondage,至少她看起來比我還羞恥.|(她微笑的看著Amanda.),SidneyBondageFront.jpg
230,0,0,,,SidneyBondageBack.jpg
240,0,0,,,SidneyBondageHug.jpg
250,0,0,,,SidneyBondageKiss.jpg
300,0,0,,你這小偷! 我跟你無話可說.,SidneyBack.jpg
310,0,0,,我不敢相信你在這把我綁了起來.|我們之後再聊.,SidneyFace.jpg
310,0,0,AmandaInBondage,"我不敢相信你在這把我綁了起來.|往好處想, 她還深陷麻煩.",SidneyFace.jpg
